frame,wrist_x,wrist_y,wrist_z,wrist_visibility,elbow_x,elbow_y,elbow_z,elbow_visibility,shoulder_x,shoulder_y,shoulder_z,shoulder_visibility,hip_x,hip_y,hip_z,hip_visibility,clubhead_y,clubhead_valid,clubhead_y_smooth,address_idx,backswing_start_idx,backswing_top_idx,impact_raw_idx,impact_idx,finish_idx,impact_method,has_3d_data,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,elbow_x_smooth,elbow_y_smooth,elbow_z_smooth,shoulder_x_smooth,shoulder_y_smooth,shoulder_z_smooth,hip_x_smooth,hip_y_smooth,hip_z_smooth,follow_through_frames,elbow_angle_impact,arm_extension_label,max_speed_frame,max_speed_frames_from_impact,speed_timing_score,backswing_frames,downswing_frames,tempo_ratio,early_extension_score,early_extension_label,overall_score,overall_rating
10,0.3137859106063843,0.058075252920389175,0.1690291166305542,0.3560674786567688,0.2480592578649521,-0.16034454107284546,0.12265942245721817,0.24104811251163483,0.241135835647583,-0.3674631118774414,0.04823973402380943,0.9999865293502808,0.02822384610772133,0.00018999229359906167,0.12762045860290527,0.9999672770500183,491.8658752441406,1,492.6267511276975,0,15,29,37,37,56,yolo_refine_pm5,True,0.31481431921323166,0.05826352128670333,0.1689260140770959,0.24824818543025445,-0.15984427290303377,0.12208643449204318,0.24129752459980208,-0.36740164387793794,0.04681425222328734,0.028351940746818287,0.00018927723821044715,0.12763172884782165,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
11,0.31791073083877563,0.058610185980796814,0.1691269725561142,0.35436347126960754,0.24997244775295258,-0.1575240045785904,0.12252599000930786,0.24140037596225739,0.24217572808265686,-0.36687764525413513,0.04781852662563324,0.9999867677688599,0.02863708883523941,0.00033038578112609684,0.12763379514217377,0.999967634677887,494.152099609375,1,494.0671764555435,0,15,29,37,37,56,yolo_refine_pm5,True,0.3173571555387409,0.058509453953731666,0.16806799386228846,0.25023248507863016,-0.15820249276501802,0.1208042005697887,0.24225788315137245,-0.36689624048414715,0.0473525291752248,0.028635791547241683,0.00032660822641143294,0.12761134476888758,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
12,0.32027050852775574,0.0590536892414093,0.16311460733413696,0.3537130057811737,0.2527969181537628,-0.15631090104579926,0.11496450006961823,0.24490661919116974,0.24385005235671997,-0.3661743402481079,0.043663617223501205,0.9999867677688599,0.029399167746305466,0.0004616000805981457,0.1275007426738739,0.999967098236084,497.777587890625,1,496.7376331147697,0,15,29,37,37,56,yolo_refine_pm5,True,0.31988150590942044,0.058084404007310006,0.16555510035582963,0.25292361563160326,-0.1561083545287451,0.11749506670804259,0.24348912139733647,-0.3658524254957838,0.045315926096269096,0.029151296863953294,0.0004699313264739304,0.1275424545719511,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
13,0.3232550024986267,0.05912933871150017,0.16052617132663727,0.35291165113449097,0.25782376527786255,-0.15451887249946594,0.11217769980430603,0.24940291047096252,0.24474720656871796,-0.3645468056201935,0.041404519230127335,0.9999868869781494,0.0299507025629282,0.0005972009967081249,0.12735629081726074,0.9999676942825317,501.2309265136719,1,502.5541570754282,0,15,29,37,37,56,yolo_refine_pm5,True,0.32394980107034976,0.059402310599883434,0.15677623663629817,0.2580093592405321,-0.15421208384491158,0.11048360204412833,0.24574091959567312,-0.3647449924832301,0.03994717342512952,0.030311712285592464,0.0005924688302911822,0.12728602829433633,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
14,0.32764333486557007,0.05970893055200577,0.1496143490076065,0.3514818549156189,0.2640044093132019,-0.15276387333869934,0.10542139410972595,0.25277677178382874,0.24816541373729706,-0.36353644728660583,0.035810451954603195,0.9999867677688599,0.03147672489285469,0.0006972950650379062,0.1270507276058197,0.9999677538871765,508.5491027832031,1,510.32881237211717,0,15,29,37,37,56,yolo_refine_pm5,True,0.32850698204267614,0.06203781387635644,0.14756602687495107,0.2648693621158602,-0.15322172996543715,0.10435195231721522,0.24804508615107781,-0.3638923565546674,0.03564439305946943,0.03161635125676793,0.0006997148101661537,0.12700769730976658,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
15,0.33422979712486267,0.06869906932115555,0.13069522380828857,0.3775634169578552,0.27261120080947876,-0.15234330296516418,0.09344277530908585,0.27500343322753906,0.2508525252342224,-0.36339259147644043,0.026153165847063065,0.9999871850013733,0.033912498503923416,0.0007319303695112467,0.12641127407550812,0.9999681115150452,521.4209594726562,1,519.709854852586,0,15,29,37,37,56,yolo_refine_pm5,True,0.33353314371336096,0.06707132980227475,0.13850534246081408,0.2723951268763771,-0.15268203403268554,0.09770560548419052,0.2498604350146795,-0.36334034232866225,0.029337639831716125,0.03316731848532248,0.0007291962558935801,0.1266801194066094,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
16,0.33808600902557373,0.07240491360425949,0.13458216190338135,0.402916818857193,0.2795051038265228,-0.1532699167728424,0.09499553591012955,0.2991960644721985,0.25078850984573364,-0.3631660044193268,0.02661050856113434,0.9999878406524658,0.03478269279003143,0.0007494481396861374,0.12634527683258057,0.9999692440032959,527.96337890625,1,540.1392342703687,0,15,29,37,37,56,yolo_refine_pm5,True,0.34013850064504736,0.07583760718504592,0.14924762362525587,0.27817151092347664,-0.1528162651118779,0.09965191213857567,0.24934346264316942,-0.363489913088935,0.023326131448681883,0.03416035359814056,0.0005370505858168365,0.1270454412414915,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
17,0.3395068049430847,0.07964715361595154,0.12528930604457855,0.43473273515701294,0.28267261385917664,-0.1532791405916214,0.08255486935377121,0.3327800929546356,0.2506868541240692,-0.36245888471603394,0.011336171999573708,0.9999884366989136,0.03742215409874916,0.0005671078688465059,0.12553465366363525,0.9999701976776123,533.8843383789062,1,526.9922499883746,0,15,29,37,37,56,yolo_refine_pm5,True,0.3405404474054067,0.08211243236880933,0.12409649292627979,0.28156127958070687,-0.15230615720862445,0.08460465392896113,0.25047269605454964,-0.36194769683338374,0.013790873145418518,0.037551748433283426,0.0006033506527143933,0.1257170782912346,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
18,0.33876651525497437,0.08165036141872406,0.12132532894611359,0.4785575568675995,0.2824665606021881,-0.15352769196033478,0.07952599972486496,0.37501347064971924,0.2506120800971985,-0.36124202609062195,0.006201163399964571,0.9999891519546509,0.04087527096271515,0.0005302884383127093,0.12432189285755157,0.9999708533287048,532.45263671875,1,490.733321416946,0,15,29,37,37,56,yolo_refine_pm5,True,0.3335181119896119,0.07350327276314304,0.05711168121723906,0.28440184252602735,-0.1539180697429749,0.0484748794918969,0.25684998716626867,-0.35943166556812495,0.0003562453202903273,0.044754126597018495,0.0010510621941648432,0.1213897271525293,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
19,0.30941635370254517,0.05507059022784233,-0.08222554624080658,0.5123370289802551,0.28520113229751587,-0.15365973114967346,-0.020624376833438873,0.4074474275112152,0.26769059896469116,-0.3546122610569,-0.01770668290555477,0.9999895095825195,0.05563696101307869,0.0021253263112157583,0.11377175897359848,0.9999709129333496,402.5974426269531,1,444.28050885881726,0,15,29,37,37,56,yolo_refine_pm5,True,0.31516809264818846,0.04879821442245022,-0.051530493157250584,0.29083878227642623,-0.1558889455738523,-0.009894141838664109,0.2668489558356151,-0.35696567949794616,-0.018440986983478083,0.054764030235154325,0.0018004110232660827,0.11425616627647772,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
