x,y,z,frame_idx,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,wrist_motion,swing_path_angle,swing_path_label
0.4737570881843567,0.7028236389160156,-0.11794357001781464,1,0.4737570881843567,0.7028236389160156,-0.11794357001781464,0.8557555326917947,79.02250908679655,In-to-Out
0.4736712872982025,0.7033703923225403,-0.13010230660438538,2,0.4737141877412796,0.703097015619278,-0.1240229383111,0.8568151692561438,79.02250908679655,In-to-Out
0.4737516939640045,0.702921986579895,-0.13876399397850037,3,0.47372668981552124,0.7030386726061503,-0.1289366235335668,0.8574992738840224,79.02250908679655,In-to-Out
0.4738312363624573,0.7026021480560303,-0.13828988373279572,4,0.47375282645225525,0.7029295414686203,-0.13127493858337402,0.8577789868846486,79.02250908679655,In-to-Out
0.47383913397789,0.7007625102996826,-0.13799183070659637,5,0.4737700879573822,0.7024961352348328,-0.1326183170080185,0.8576400960012663,79.02250908679655,In-to-Out
0.4738337993621826,0.6984342336654663,-0.13471460342407227,6,0.4737854301929474,0.7016182541847229,-0.13597252368927001,0.8574551508194255,79.02250908679655,In-to-Out
0.47298526763916016,0.6837002038955688,-0.13611376285552979,7,0.4736482262611389,0.6976842164993287,-0.1371748149394989,0.854355217720528,79.02250908679655,In-to-Out
0.468599408864975,0.6582801342010498,-0.19852112233638763,8,0.47261776924133303,0.6887558460235595,-0.14912624061107635,0.8485227203045749,79.02250908679655,In-to-Out
0.46580442786216736,0.6404306292533875,-0.1825648546218872,9,0.47101240754127505,0.676321542263031,-0.15798123478889464,0.8391791150477333,79.02250908679655,In-to-Out
0.4607100486755371,0.6106069087982178,-0.2365250140428543,10,0.46838659048080444,0.658290421962738,-0.17768787145614623,0.8272274520666782,79.02250908679655,In-to-Out
0.45449382066726685,0.5665865540504456,-0.2820185422897339,11,0.4645185947418213,0.6319208860397338,-0.20714865922927855,0.811179448762508,79.02250908679655,In-to-Out
0.4517339766025543,0.5441329479217529,-0.31628382205963135,12,0.4602683365345001,0.6040074348449707,-0.2431826710700989,0.7973767832543316,79.02250908679655,In-to-Out
0.45035243034362793,0.49931731820106506,-0.3061831295490265,13,0.4566189408302307,0.5722148716449738,-0.26471507251262666,0.7784630922991538,79.02250908679655,In-to-Out
0.44465261697769165,0.4730156660079956,-0.2527042627334595,14,0.4523885786533356,0.5387318789958954,-0.2787429541349411,0.756693529787527,79.02250908679655,In-to-Out
0.4395883083343506,0.4502779245376587,-0.16155771911144257,15,0.44816423058509824,0.5066660821437836,-0.26374949514865875,0.7260340849863984,79.02250908679655,In-to-Out
0.43221455812454224,0.4360128343105316,0.007569137029349804,16,0.44370837807655333,0.48055133819580076,-0.20583195928484202,0.6856919927198635,79.02250908679655,In-to-Out
0.42713698744773865,0.4304295480251312,0.06620106101036072,17,0.4387889802455902,0.45781065821647643,-0.1293349826708436,0.6471892348486923,79.02250908679655,In-to-Out
0.42692822217941284,0.42937567830085754,0.09941978752613068,18,0.4341041386127472,0.4438223302364349,-0.04821439925581217,0.6226951840770998,79.02250908679655,In-to-Out
0.42481642961502075,0.4188902676105499,0.06954645365476608,19,0.430136901140213,0.4329972505569458,0.01623574402183294,0.6105472726139414,79.02250908679655,In-to-Out
0.42422017455101013,0.4193643629550934,0.09379219263792038,20,0.4270632743835449,0.42681453824043275,0.06730572637170554,0.6075226342968727,79.02250908679655,In-to-Out
0.4232693314552307,0.42533186078071594,0.0708867758512497,21,0.4252742290496826,0.4246783435344696,0.07996925413608551,0.6063043352707159,79.02250908679655,In-to-Out
0.4265314042568207,0.443929523229599,0.018146198242902756,22,0.425153112411499,0.42737833857536317,0.07035828158259391,0.6069247902861425,79.02250908679655,In-to-Out
0.42824068665504456,0.45096439123153687,-0.13735239207744598,23,0.42541560530662537,0.43169608116149905,0.023003845661878585,0.6065221518162659,79.02250908679655,In-to-Out
0.44094792008399963,0.5316007137298584,-0.16142521798610687,24,0.42864190340042113,0.45423817038536074,-0.023190488666296007,0.6249831962143922,79.02250908679655,In-to-Out
0.4548948407173157,0.6245320439338684,-0.04715844243764877,25,0.4347768366336823,0.49527170658111574,-0.051380615681409836,0.6610332281215243,79.02250908679655,In-to-Out
0.46538084745407104,0.6707642078399658,-0.11122962087392807,26,0.44319913983345033,0.5443581759929657,-0.0878038950264454,0.7074325588360447,79.02250908679655,In-to-Out
0.4770647883415222,0.6902531981468201,-0.09997330605983734,27,0.4533058166503906,0.59362291097641,-0.1114277958869934,0.755175792475777,79.02250908679655,In-to-Out
0.4803749918937683,0.6876180768013,0.015716999769210815,28,0.46373267769813536,0.6409536480903626,-0.08081391751766205,0.7952361062162473,79.02250908679655,In-to-Out
0.4685254991054535,0.6298620104789734,0.1346346139907837,29,0.46924819350242614,0.6606059074401855,-0.021601951122283934,0.8105927931720408,79.02250908679655,In-to-Out
0.46609053015708923,0.5226882696151733,-0.15534338355064392,30,0.47148733139038085,0.6402371525764465,-0.043238939344882966,0.796287335750412,79.02250908679655,In-to-Out
